algorithm_name,env_n,states_n,actions_count,actions_cost,time,solution_found
DFS,15,1664,,,2.716,False
DLS50,15,1374,353.0,331.0,1.338,True
DLS75,15,1626,,,2.206,False
DLS100,15,1539,,,3.042,False
UCS,15,808,181.0,172.0,2.244,True
A*,15,877,103.0,116.0,1.633,True
BFS,16,1258,,,3.793,False
DFS,16,1287,,,2.037,False
DLS50,16,1580,,,1.73,False
DLS75,16,1642,286.0,253.0,1.388,True
DLS100,16,1454,,,2.589,False
UCS,16,818,275.0,297.0,2.469,True
A*,16,1025,215.0,187.0,1.303,True
BFS,17,988,230.0,230.0,2.905,True
DFS,17,1367,,,2.779,False
DLS50,17,1231,,,2.754,False
DLS75,17,1219,222.0,210.0,1.519,True
DLS100,17,1076,444.0,369.0,2.494,True
UCS,17,753,,,4.898,False
A*,17,481,181.0,200.0,1.26,True
BFS,18,1232,160.0,160.0,1.823,True
DFS,18,826,550.0,557.0,1.487,True
DLS50,18,1162,,,2.952,False
DLS75,18,1112,370.0,358.0,1.087,True
DLS100,18,694,,,3.948,False
UCS,18,1211,333.0,327.0,3.937,True
A*,18,821,230.0,233.0,1.432,True
BFS,19,1373,261.0,261.0,1.861,True
DFS,19,1346,,,2.538,False
DLS50,19,1160,,,2.336,False
DLS75,19,1319,376.0,371.0,1.245,True
DLS100,19,1972,261.0,287.0,1.742,True
UCS,19,900,88.0,83.0,2.711,True
A*,19,716,323.0,370.0,1.825,True
BFS,20,1534,198.0,198.0,2.562,True
DFS,20,1775,223.0,207.0,1.632,True
DLS50,20,2039,525.0,485.0,1.798,True
DLS75,20,2041,317.0,337.0,1.097,True
DLS100,20,1270,,,2.212,False
UCS,20,1058,342.0,374.0,2.822,True
A*,20,952,206.0,228.0,1.565,True
BFS,21,1223,277.0,277.0,2.024,True
DFS,21,1458,383.0,320.0,1.727,True
DLS50,21,1436,,,2.636,False
DLS75,21,1347,462.0,415.0,2.091,True
DLS100,21,1392,,,3.133,False
UCS,21,1289,323.0,326.0,3.788,True
A*,21,954,143.0,141.0,1.166,True
BFS,22,637,,,2.605,False
DFS,22,1971,,,1.937,False
DLS50,22,1336,268.0,245.0,1.81,True
DLS75,22,1333,,,2.161,False
DLS100,22,1843,403.0,379.0,1.973,True
UCS,22,1088,370.0,311.0,3.717,True
A*,22,718,266.0,252.0,1.541,True
BFS,23,634,226.0,226.0,2.398,True
DFS,23,1612,,,1.64,False
DLS50,23,2034,426.0,393.0,1.322,True
DLS75,23,1748,,,2.817,False
DLS100,23,1213,189.0,178.0,1.535,True
UCS,23,912,235.0,226.0,2.587,True
A*,23,674,145.0,151.0,1.395,True
BFS,24,1449,235.0,235.0,2.571,True
DFS,24,1309,,,2.742,False
DLS50,24,958,,,2.376,False
DLS75,24,859,291.0,240.0,1.875,True
DLS100,24,1002,496.0,430.0,1.817,True
UCS,24,1570,304.0,291.0,2.051,True
A*,24,642,177.0,194.0,1.141,True
BFS,25,1201,211.0,211.0,2.946,True
DFS,25,736,,,3.339,False
DLS50,25,1064,381.0,372.0,1.163,True
DLS75,25,1466,426.0,358.0,1.482,True
DLS100,25,748,,,3.628,False
UCS,25,975,347.0,296.0,2.751,True
A*,25,667,286.0,292.0,1.956,True
BFS,26,1549,233.0,233.0,2.84,True
DFS,26,2353,346.0,285.0,1.538,True
DLS50,26,1683,,,1.523,False
DLS75,26,1164,352.0,302.0,2.137,True
DLS100,26,1606,278.0,223.0,1.637,True
UCS,26,999,283.0,308.0,3.777,True
A*,26,907,291.0,261.0,1.775,True
BFS,27,649,247.0,247.0,1.701,True
DFS,27,1662,259.0,200.0,2.111,True
DLS50,27,1572,416.0,347.0,1.624,True
DLS75,27,1762,292.0,262.0,1.126,True
DLS100,27,1475,428.0,376.0,1.8,True
UCS,27,1061,394.0,432.0,2.631,True
A*,27,712,228.0,232.0,1.379,True
BFS,28,1134,38.0,38.0,2.106,True
DFS,28,1591,,,1.706,False
DLS50,28,746,,,1.145,False
DLS75,28,1216,283.0,249.0,1.942,True
DLS100,28,951,268.0,277.0,2.063,True
UCS,28,1193,229.0,249.0,2.895,True
A*,28,388,,,1.545,False
BFS,29,1334,279.0,279.0,1.863,True
DFS,29,1370,158.0,166.0,1.285,True
DLS50,29,879,,,1.407,False
DLS75,29,1273,,,1.489,False
DLS100,29,1097,,,2.152,False
UCS,29,599,228.0,235.0,3.16,True
A*,29,714,127.0,125.0,1.186,True
BFS,0,1371,285.0,651.0,1.604,True
DFS,0,1696,,,1.884,False
DLS50,0,1231,247.0,709.0,1.69,True
DLS75,0,1374,,,2.992,False
DLS100,0,1903,,,4.019,False
UCS,0,1666,265.0,848.0,3.124,True
A*,0,804,170.0,793.0,1.705,True
BFS,1,1675,253.0,558.0,2.257,True
DFS,1,1443,260.0,1182.0,1.858,True
DLS50,1,1059,,,2.479,False
DLS75,1,1735,,,2.706,False
DLS100,1,2489,280.0,1270.0,1.645,True
UCS,1,1352,270.0,643.0,3.413,True
A*,1,1355,91.0,506.0,1.68,True
BFS,2,1515,229.0,689.0,2.175,True
DFS,2,1974,371.0,743.0,1.652,True
DLS50,2,1803,412.0,912.0,1.125,True
DLS75,2,1262,,,2.476,False
DLS100,2,2030,,,3.782,False
UCS,2,1051,305.0,1200.0,2.819,True
A*,2,779,189.0,453.0,1.515,True
BFS,3,1027,144.0,765.0,2.684,True
DFS,3,1634,,,3.698,False
DLS50,3,1731,507.0,1285.0,1.225,True
DLS75,3,1688,320.0,821.0,1.649,True
DLS100,3,1779,,,2.329,False
UCS,3,1373,195.0,757.0,3.687,True
A*,3,1071,319.0,789.0,1.877,True
BFS,4,1673,253.0,573.0,2.472,True
DFS,4,1431,217.0,719.0,1.985,True
DLS50,4,1913,463.0,1746.0,1.764,True
DLS75,4,1629,,,2.309,False
DLS100,4,1372,294.0,722.0,2.286,True
UCS,4,1035,309.0,1761.0,3.324,True
A*,4,891,229.0,547.0,1.039,True
BFS,5,1737,225.0,1249.0,1.988,True
DFS,5,2587,295.0,1229.0,1.617,True
DLS50,5,1434,453.0,895.0,1.543,True
DLS75,5,2331,,,2.043,False
DLS100,5,1713,,,3.241,False
UCS,5,1315,368.0,1667.0,3.922,True
A*,5,648,198.0,784.0,1.607,True
BFS,6,1145,,,4.858,False
DFS,6,1270,,,2.977,False
DLS50,6,1122,,,1.535,False
DLS75,6,1799,354.0,977.0,1.581,True
DLS100,6,2013,642.0,1611.0,1.368,True
UCS,6,2081,303.0,1621.0,2.979,True
A*,6,1467,191.0,646.0,1.568,True
BFS,7,2276,237.0,691.0,2.329,True
DFS,7,2279,342.0,925.0,1.562,True
DLS50,7,1640,,,2.603,False
DLS75,7,2125,336.0,677.0,1.913,True
DLS100,7,1833,,,2.782,False
UCS,7,903,207.0,504.0,3.502,True
A*,7,1372,124.0,486.0,1.03,True
BFS,8,1312,,,3.309,False
DFS,8,2109,,,1.721,False
DLS50,8,2242,226.0,555.0,1.594,True
DLS75,8,1512,,,1.563,False
DLS100,8,1004,,,2.899,False
UCS,8,1519,246.0,1046.0,3.961,True
A*,8,1416,240.0,456.0,1.26,True
BFS,9,672,,,2.675,False
DFS,9,942,,,2.432,False
DLS50,9,2073,,,1.6,False
DLS75,9,2068,234.0,1329.0,1.978,True
DLS100,9,1459,141.0,663.0,1.803,True
UCS,9,1491,116.0,651.0,3.505,True
A*,9,1125,181.0,894.0,1.484,True
BFS,10,1735,108.0,356.0,1.559,True
DFS,10,2274,454.0,2190.0,1.039,True
DLS50,10,1323,420.0,1188.0,1.709,True
DLS75,10,2184,499.0,1469.0,2.042,True
DLS100,10,1059,462.0,1077.0,2.469,True
UCS,10,1515,207.0,785.0,3.861,True
A*,10,1010,187.0,364.0,1.572,True
BFS,11,1287,286.0,742.0,1.902,True
DFS,11,1882,,,2.092,False
DLS50,11,1880,,,2.754,False
DLS75,11,1161,254.0,1178.0,1.935,True
DLS100,11,2130,,,3.263,False
UCS,11,1708,177.0,559.0,3.699,True
A*,11,838,63.0,321.0,1.175,True
BFS,12,1576,256.0,563.0,2.836,True
DFS,12,1891,431.0,1086.0,2.35,True
DLS50,12,1536,285.0,1079.0,1.598,True
DLS75,12,1843,,,2.534,False
DLS100,12,1250,,,2.607,False
UCS,12,1525,,,5.216,False
A*,12,1176,175.0,843.0,1.108,True
BFS,13,1892,435.0,1019.0,1.586,True
DFS,13,2610,368.0,1096.0,1.875,True
DLS50,13,720,,,2.109,False
DLS75,13,1912,225.0,1308.0,2.197,True
DLS100,13,1849,467.0,1613.0,2.445,True
UCS,13,718,361.0,1153.0,3.744,True
A*,13,1047,318.0,651.0,1.94,True
BFS,14,1920,275.0,638.0,2.215,True
DFS,14,1687,,,3.551,False
DLS50,14,1552,,,3.026,False
DLS75,14,1977,,,1.632,False
DLS100,14,1436,,,2.177,False
UCS,14,1907,437.0,2010.0,2.091,True
A*,14,721,168.0,499.0,1.382,True
BFS,15,1903,360.0,1311.0,2.234,True
DFS,15,1380,451.0,1522.0,2.016,True
DLS50,15,1955,315.0,1562.0,1.759,True
DLS75,15,1565,,,2.844,False
DLS100,15,1715,,,2.804,False
UCS,15,851,300.0,1420.0,3.199,True
A*,15,1079,162.0,592.0,1.407,True
BFS,16,1486,253.0,528.0,2.792,True
DFS,16,1046,,,2.5,False
DLS50,16,2502,327.0,644.0,0.985,True
DLS75,16,1198,,,3.363,False
DLS100,16,1328,341.0,1646.0,1.772,True
UCS,16,878,273.0,1148.0,3.567,True
A*,16,913,241.0,1131.0,1.809,True
BFS,17,1585,,,3.987,False
DFS,17,2106,317.0,1414.0,2.128,True
DLS50,17,1849,,,2.969,False
DLS75,17,1328,,,2.486,False
DLS100,17,1801,362.0,1770.0,1.313,True
UCS,17,906,160.0,608.0,3.326,True
A*,17,1483,181.0,477.0,1.996,True
BFS,18,1420,299.0,663.0,1.806,True
DFS,18,1830,382.0,1275.0,1.932,True
DLS50,18,2390,321.0,973.0,0.812,True
DLS75,18,1610,,,1.782,False
DLS100,18,1417,277.0,552.0,1.892,True
UCS,18,1079,,,2.968,False
A*,18,1014,,,1.832,False
BFS,19,1073,262.0,1248.0,1.751,True
DFS,19,1581,262.0,1031.0,1.528,True
DLS50,19,2005,,,2.949,False
DLS75,19,1948,218.0,1077.0,1.721,True
DLS100,19,2257,372.0,842.0,1.367,True
UCS,19,1051,227.0,1189.0,3.483,True
A*,19,1121,391.0,943.0,1.881,True
BFS,20,1415,116.0,337.0,2.616,True
DFS,20,2082,444.0,2128.0,1.545,True
DLS50,20,1571,,,1.525,False
DLS75,20,2011,427.0,1612.0,1.247,True
DLS100,20,2103,434.0,1657.0,1.71,True
UCS,20,1266,184.0,983.0,3.695,True
A*,20,1160,135.0,561.0,1.953,True
BFS,21,1517,311.0,944.0,1.579,True
DFS,21,2649,204.0,1091.0,1.288,True
DLS50,21,1161,340.0,1784.0,1.132,True
DLS75,21,2102,,,2.123,False
DLS100,21,1666,327.0,728.0,1.443,True
UCS,21,1690,210.0,699.0,2.734,True
A*,21,935,273.0,1257.0,1.486,True
BFS,22,1483,,,3.147,False
DFS,22,1889,390.0,1630.0,2.32,True
DLS50,22,1863,369.0,1832.0,1.54,True
DLS75,22,1767,,,2.837,False
DLS100,22,1034,,,3.023,False
UCS,22,1523,,,5.152,False
A*,22,858,76.0,185.0,1.701,True
BFS,23,1414,250.0,1191.0,2.492,True
DFS,23,2008,,,3.532,False
DLS50,23,2195,508.0,998.0,1.166,True
DLS75,23,1299,,,2.534,False
DLS100,23,1799,210.0,1021.0,1.943,True
UCS,23,1371,336.0,1375.0,2.565,True
A*,23,772,209.0,513.0,1.571,True
BFS,24,1139,,,2.831,False
DFS,24,1407,,,3.626,False
DLS50,24,2390,,,1.717,False
DLS75,24,1552,,,2.875,False
DLS100,24,1481,,,2.268,False
UCS,24,1350,305.0,999.0,2.128,True
A*,24,1263,170.0,339.0,1.545,True
BFS,25,1155,186.0,530.0,2.117,True
DFS,25,1172,,,3.282,False
DLS50,25,1962,,,2.177,False
DLS75,25,1779,,,2.029,False
DLS100,25,1728,420.0,1731.0,1.85,True
UCS,25,1323,171.0,608.0,3.056,True
A*,25,1245,198.0,1066.0,1.61,True
BFS,26,1281,277.0,1369.0,1.913,True
DFS,26,2614,517.0,2118.0,1.969,True
DLS50,26,1896,,,2.711,False
DLS75,26,2179,,,2.14,False
DLS100,26,1682,,,3.342,False
UCS,26,1092,240.0,1210.0,2.098,True
A*,26,637,100.0,531.0,1.126,True
BFS,27,1797,283.0,1655.0,2.443,True
DFS,27,2169,,,2.481,False
DLS50,27,1717,566.0,2717.0,1.512,True
DLS75,27,1208,,,3.16,False
DLS100,27,994,,,3.635,False
UCS,27,1843,154.0,633.0,3.665,True
A*,27,1496,288.0,1528.0,1.43,True
BFS,28,1874,188.0,1080.0,2.911,True
DFS,28,1914,,,1.475,False
DLS50,28,1548,,,1.936,False
DLS75,28,2008,284.0,1065.0,2.183,True
DLS100,28,1964,265.0,1303.0,2.065,True
UCS,28,1326,277.0,1405.0,2.289,True
A*,28,993,220.0,658.0,1.144,True
BFS,29,1519,225.0,859.0,2.277,True
DFS,29,1066,,,4.135,False
DLS50,29,3261,,,1.567,False
DLS75,29,1084,,,1.86,False
DLS100,29,874,,,2.948,False
UCS,29,1537,325.0,950.0,2.677,True
A*,29,1029,223.0,506.0,1.947,True
